name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1033;0;1010;3121;1757;3121;1803;0
header;762;151;762;185;1286;185;1286;151
A;1383;313;1383;313;1385;313;1385;313
A;1646;508;1646;510;1649;510;1649;508
A;1495;534;1495;536;1497;536;1497;534
A;1710;723;1710;728;1710;728;1710;723
A;1319;908;1319;909;1321;909;1321;908
A;1582;1142;1582;1145;1585;1145;1585;1142
A;1673;1191;1673;1194;1675;1194;1675;1191
A;1635;1300;1635;1303;1636;1303;1636;1300
B;1417;1354;1417;1385;1432;1385;1432;1354
A;1218;2262;1218;2263;1218;2263;1218;2262
A;1374;2722;1374;2726;1378;2726;1378;2722
B;1385;2846;1385;2875;1426;2875;1426;2846
A;1339;2860;1339;2868;1373;2868;1373;2860
